"casenum","date","weight_","thana","vill","b3_1_4","b3_2_4","b3_3_4","b3_4_4","b3_5_4","b3_6_4","b3_7_4","b3_8_4","b3_9_4","b3_10_4","b3_11_4","b3_12_4","b3_13_4","b3_14_4","b3_15_4","b3_16_4","b3_17_4","b3_18_4","b3_19_4","b3_20_4","b3_21_4","b3_22_4","b3_23_4","b3_24_4","b3_25_4","b3_26_4","b3_27_4","b3_28_4","b3_29_4","b3_30_4","b3_31_4","b3_32_4","b3_33_4","b3_34_4","b3_35_4","b3_36_4"
1,"11/20/99",1,1,1,14,17,25,12,15,16,25,32,40,40,27,22,32,44,60,64,18,3,3.25,17,20,36,60,5,4,8,115,9,65,115,90,16,6,9,2.5,10
2,"11/20/99",1,1,2,12,15,18,9,14,18,30,40,40,48,28,24,32,56,64,12,20,3,3,16,32,40,64,10,12,16,80,10,65,100,70,24,6,9,2.5,10
3,"11/20/99",1,1,3,10,12,18,9,13,20,28,20,40,40,28,28,32,48,60,10,18,3,3,16,32,60,64,10,5,8,60,10,60,100,90,24,6,3,2.5,10
4,"11/27/99",1,2,1,14,15,18,12,14,16,24,20,48,40,26,14,28,52,60,60,16,2.5,2.5,12,12,40,40,2.5,1,8,100,6,60,100,80,20,13,9,2.5,10
5,"11/27/99",1,2,2,10,12,18,9,14,16,20,28,40,50,24,14,30,44,52,54,13,3,2.5,12,20,36,50,5,2,12,40,10,60,80,70,20,6.5,9,2,9
6,"11/27/99",1,2,3,14,15,16,9,14,16,20,28,40,50,24,14,30,44,52,54,13,3,2.5,12,20,36,50,5,2,12,40,10,60,80,70,20,6.5,9,2,9
7,"11/27/99",1,2,4,10,12,14,10,14,20,32,28,36,40,30,28,32,40,56,120,14,3.5,3,14,22,60,100,9,10,16,75,5,70,100,80,20,14,9,3,8
8,"11/27/99",1,3,1,12,14,17,9,13,20,50,40,40,48,30,26,32,44,56,70,16,3,3,20,22,48,70,10,12,40,68,10,70,100,100,18,6,9,3,10
9,"11/27/99",1,3,2,12,14,17,9,13,20,50,40,40,48,30,26,32,44,56,70,16,2.75,3,20,20,48,65,10,12,30,68,10,70,100,100,18,6,9,3,10
10,"11/27/99",1,3,3,13,15,18,10,16,20,50,40,40,50,30,26,32,44,60,80,16,3,3,20,22,50,70,10,12,40,70,10,70,100,100,18,6,9,3,10
11,"11/27/99",1,4,1,11.5,14,16,12,13,16,70,32,36,40,20,24,26,45,60,70,16.5,2,2,12,24,40,70,7,5,20,80,10,60,120,80,20,6,9,2.5,8
12,"11/27/99",1,4,2,14,15,17,11,14,16,40,16,32,40,20,24,28,52,70,70,20,2.5,2,12,20,30,60,5,10,12,60,10,70,120,80,20,7,9,2.25,10
13,"11/27/99",1,4,3,11,13,16,11,14,16,40,16,36,40,20,24,32,50,70,70,15,3,2.5,12,20,30,60,8,8,30,60,10,65,120,80,20,7,9,2.25,10
14,"11/27/99",1,4,4,12,13,14,13,14,14,1.79769313486232e+308,18,40,35,18,18,28,42,64,68,16,3,2.75,14,18,50,70,10,8,18,60,10,55,80,60,18,14,9,2.5,10
15,"11/27/99",1,5,1,13,14,15,10,16,20,32,38,40,48,30,28,32,56,55,80,18,3,3,15,30,40,54,12,5,8,65,10,70,120,80,24,14,9,2,10
16,"11/27/99",1,5,2,15.5,17,35,12,16,18,25,30,38,40,32,20,30,54,60,120,17,3,3,16,12,30,70,5,2,8,100,12,60,120,80,16,11,9,2,10
17,"11/27/99",1,5,3,16,17.5,35,10,15,18,28,20,40,32,30,25,33,56,64,96,18,3,3.5,16,20,40,80,6,3,24,80,10,60,100,85,24,13,9,2,10
18,"11/27/99",1,6,1,12,15,18,14,16,24,32,26,36,40,28,24,32,40,56,64,16,4,3.75,24,24,40,80,10,12,40,70,10,70,120,80,24,7,9,2.5,10
19,"11/27/99",1,6,2,12,14,18,12,16,20,18,40,36,1.79769313486232e+308,28,24,32,40,56,64,16,4,4,24,28,48,80,12,16,48,80,10,70,120,70,24,7,9,2.5,10
20,"11/27/99",1,6,3,14,16,28,12,13,12,16,16,36,40,26,20,28,44,50,60,16,3.5,3.75,20,16,32,64,5,8,8,100,10,70,120,150,14,13,9,2,10
21,"11/27/99",1,7,1,15,16,17,13,15,16,32,30,40,48,24,20,28,54,60,80,16,4,3,14,10,24,50,2,2,8,70,9,60,90,80,20,14,9,2.5,10
22,"11/27/99",1,7,2,15,16,17,13,16,16,28,32,40,48,28,24,30,54,64,80,16,3,2.5,14,16,24,60,4,4,12,70,10,70,100,80,20,14,9,2.5,10
3,"11/20/99",1,7,3,12,13.5,16,10,12,18,30,30,40,44,28,24,32,54,64,128,16,3,2.5,12,20,40,50,8,10,20,70,10,70,120,85,20,14,9,2.5,10
2,"11/30/99",1,7,4,12,13,16,10,12,18,30,30,36,44,28,24,30,54,60,128,16,3,2.5,14,24,36,50,8,10,16,70,10,70,120,80,20,14,9,2.5,10
3,"11/30/99",1,8,1,14,18,30,12,13,16,22,40,40,40,18,14,32,48,56,56,14,3,3,14,28,60,40,5,3,12,32,10,60,80,70,16,14,9,2.5,10
4,"11/30/99",1,8,2,11,14,35,12,13,16,22,40,40,40,25,25,32,48,56,56,14,3,3,16,32,80,40,9,8,16,60,10,80,110,70,16,14,9,2.5,10
